Sri Ganganagar;2;3;;;;;;
Hanumangarh;1;3;4;;;;;
Bikaner;1;2;4;8;7;6;;
Churu;2;3;5;8;9;;;
Jhunjhunu;4;9;;;;;;
Jaisalmer;3;7;13;;;;;
Jodhpur;3;6;8;13;14;;;
Nagaur;3;4;7;14;15;10;9;
Sikar;4;5;8;10;;;;
Jaipur;9;11;17;20;16;15;8;
Alwar;10;17;12;;;;;
Bharatpur;11;17;18;19;;;;
Barmer;6;7;14;21;;;;
Pali;7;8;15;23;29;22;21;13
Ajmer;8;10;16;24;14;23;;
Tonk;15;10;20;26;25;24;;
Dausa;10;11;12;18;20;;;
Karauli;20;17;12;19;;;;
Dholpur;18;20;;;;;;
Sawai Madhopur;26;16;17;18;20;;;
Jalore;13;14;22;;;;;
Sirohi;21;14;29;;;;;
Rajsamand;14;15;24;30;29;;;
Bhilwara;23;15;16;25;30;;;
Bundi;24;16;26;;;;;
Kota;25;20;27;28;;;;
Baran;26;28;;;;;;
Jhalawar;26;27;;;;;;
Udaipur;22;14;23;30;32;33;31;
Chittorgarh;23;24;32;29;;;;
Dungarpur;29;33;;;;;;
Pratapgarh;30;29;33;;;;;
Banswara;29;31;32;;;;;
